id,domain,title,version,profile,method,relative_path,url,source_page,license,commercial_status,isolation,expected_scope,integrity,notes
"cod_full","materials-3d","Crystallography Open Database CIF archive","current-2026-08-01","assets","http","raw/materials/crystallography-open-database/2026-08-01/cod-cifs-mysql.txz","https://www.crystallography.net/archives/cod-cifs-mysql.txz","https://wiki.crystallography.net/howtoobtaincod/","CC0-1.0","allowed","permissive","More than 530,000 experimental crystal structures","http-content-length-18481345940-and-local-sha256","Server reported 18,481,345,940 bytes on 2026-08-01; property-light relative to JARVIS; preserve COD identifiers."
"modelica_msl","multiphysics-models","Modelica Standard Library","4.1.0","core","http","raw/multiphysics/modelica-standard-library/4.1.0/ModelicaStandardLibrary-4.1.0.zip","https://github.com/modelica/ModelicaStandardLibrary/archive/refs/tags/v4.1.0.zip","https://github.com/modelica/ModelicaStandardLibrary","BSD-3-Clause","allowed","permissive","Reusable electrical, mechanical, thermal, fluid, and control models","local-sha256","Use as import/reference substrate rather than canonical IR."
"pybamm","electrochemistry-models","PyBaMM","26.5.0","core","http","raw/electrochemistry-models/pybamm/26.5.0/PyBaMM-26.5.0.zip","https://github.com/pybamm-team/PyBaMM/archive/refs/tags/v26.5.0.zip","https://github.com/pybamm-team/PyBaMM","BSD-3-Clause","allowed","permissive","Battery models and parameter sets","local-sha256","Source and data snapshot."
"coolprop","thermophysical-properties","CoolProp","7.2.0","core","http","raw/thermophysical-properties/coolprop/7.2.0/CoolProp-7.2.0.zip","https://github.com/CoolProp/CoolProp/archive/refs/tags/v7.2.0.zip","https://github.com/CoolProp/CoolProp","MIT","allowed","permissive","Equations of state and properties for 100+ fluids","local-sha256","Useful reference for fluids and thermodynamics."
"cantera","chemistry-models","Cantera","3.2.0","core","http","raw/chemistry-models/cantera/3.2.0/cantera-3.2.0.zip","https://github.com/Cantera/cantera/archive/refs/tags/v3.2.0.zip","https://www.cantera.org/stable/yaml/index.html","BSD-3-Clause","allowed","permissive","Reaction mechanisms, thermodynamics, transport, and kinetics models","local-sha256","Includes example mechanism YAML files."
"kicad_symbols","electronics-3d","KiCad symbol library","10.0.5","core","git","raw/electronics/kicad/10.0.5/kicad-symbols","https://gitlab.com/kicad/libraries/kicad-symbols.git","https://www.kicad.org/libraries/download/","CC-BY-SA-4.0 WITH KiCad-library-exception","allowed-with-obligations","share-alike","Electronic symbols and metadata","git-commit-and-local-sha256","Commercial designs are unrestricted; redistribution of library collections retains obligations."
"kicad_footprints","electronics-3d","KiCad footprint library","10.0.5","core","git","raw/electronics/kicad/10.0.5/kicad-footprints","https://gitlab.com/kicad/libraries/kicad-footprints.git","https://www.kicad.org/libraries/download/","CC-BY-SA-4.0 WITH KiCad-library-exception","allowed-with-obligations","share-alike","PCB footprints and package dimensions","git-commit-and-local-sha256","Keep isolated named source graph."
"kicad_packages3d","electronics-3d","KiCad 3D package library","10.0.5","assets","git","raw/electronics/kicad/10.0.5/kicad-packages3D","https://gitlab.com/kicad/libraries/kicad-packages3D.git","https://www.kicad.org/libraries/download/","CC-BY-SA-4.0 WITH KiCad-library-exception","allowed-with-obligations","share-alike","Thousands of STEP/VRML electronic component models","git-commit-and-local-sha256","Git LFS payload; preserve source separation and attribution."
"librepcb_base","electronics-3d","LibrePCB Base library","snapshot-2026-08-01","core","git","raw/electronics/librepcb/2026-08-01/LibrePCB_Base.lplib","https://github.com/LibrePCB-Libraries/LibrePCB_Base.lplib.git","https://github.com/LibrePCB-Libraries/LibrePCB_Base.lplib","CC0-1.0","allowed","permissive","Components, devices, packages, symbols, and categories","git-commit-and-local-sha256","Snapshot commit is written to the download report."
"freecad_library","mechanics-3d","FreeCAD Parts Library","snapshot-2026-08-01","assets","git","raw/mechanics-3d/freecad-library/2026-08-01/FreeCAD-library","https://github.com/FreeCAD/FreeCAD-library.git","https://github.com/FreeCAD/FreeCAD-library","CC-BY-3.0","allowed-with-attribution","attribution","Approximately 5 GB of mechanical, electrical, HVAC, robot, medical, and industrial CAD parts","git-commit-and-local-sha256","Git history is retained because attribution is partly carried by commit history."
"google_scanned_objects","real-world-3d","Google Scanned Objects on Gazebo Fuel","fuel-current-2026-08-01","assets","fuel_collection","raw/real-world-3d/google-scanned-objects/2026-08-01","https://fuel.gazebosim.org/1.0/models","https://research.google/blog/scanned-objects-by-google-research-a-dataset-of-3d-scanned-common-household-items/","CC-BY-4.0","allowed-with-attribution","attribution","1,030 GoogleResearch-owned common-object archives; meshes, textures, collision geometry, mass, friction, and inertia","fuel-count-1030-bytes-8665764398-and-local-sha256","Fuel search returned 1,046 names on 2026-08-01, but exactly 16 belonged to other owners and were excluded; the trusted GoogleResearch subset is 1,030 CC BY 4.0 records totaling 8,665,764,398 advertised bytes."
"usda_fdc","food-biology-chemistry","USDA FoodData Central full CSV","2026-04-30","core","http","raw/food/usda-fooddata-central/2026-04-30/FoodData_Central_csv_2026-04-30.zip","https://fdc.nal.usda.gov/fdc-datasets/FoodData_Central_csv_2026-04-30.zip","https://fdc.nal.usda.gov/download-datasets/","LicenseRef-USDA-Public-Domain","allowed","permissive","Foods, nutrients, branded products, and analytical values","local-sha256","US federal data; preserve source citations and third-party fields."
"geonames","geography","GeoNames all countries dump","current-2026-08-01","core","http","raw/geography/geonames/2026-08-01/allCountries.zip","https://download.geonames.org/export/dump/allCountries.zip","https://download.geonames.org/export/dump/","CC-BY-4.0","allowed-with-attribution","attribution","More than 11 million named geographic features","local-sha256","Environmental/place ontology seed."
"natural_earth","geography","Natural Earth vector data","snapshot-2026-08-01","core","http","raw/geography/natural-earth/2026-08-01/natural-earth-vector-master.zip","https://github.com/nvkelso/natural-earth-vector/archive/refs/heads/master.zip","https://www.naturalearthdata.com/about/terms-of-use/","LicenseRef-Natural-Earth-Public-Domain","allowed","permissive","Global physical and cultural vector layers","local-sha256","Snapshot of mutable master; local hash fixes the version."
"ambientcg_metadata","materials-3d","ambientCG complete asset metadata","api-v2-2026-08-01","core","http","raw/materials-3d/ambientcg/2026-08-01/full_json.json","https://ambientCG.com/api/v2/full_json","https://docs.ambientcg.com/api/v2/","CC0-1.0","allowed","permissive","CC0 material, texture, HDRI, and 3D-model catalog with download metadata","local-sha256","Payload assets can be selected on demand after ontology mapping."
"polyhaven_metadata","materials-3d","Poly Haven asset catalog metadata","api-2026-08-01","core","http","raw/materials-3d/polyhaven/2026-08-01/assets.json","https://api.polyhaven.com/assets","https://polyhaven.com/our-api","CC0-1.0 assets; API-Terms-2026-07-18","allowed-with-api-attribution","permissive-assets","CC0 models, textures, and HDRIs with categories and physical dimensions","local-sha256","Use a unique User-Agent; cite Poly Haven when using the free API. Asset bytes themselves are CC0."
"skywater_sky130","electronics-models","SkyWater SKY130 open PDK","snapshot","deferred","git","deferred/electronics/skywater-pdk","https://github.com/google/skywater-pdk.git","https://github.com/google/skywater-pdk","Apache-2.0","allowed-but-experimental","permissive","SPICE device models, cells, timing, and design rules","git-superproject-and-submodule-commits","Approximately 7 GB; archived upstream and explicitly experimental, so defer to Phase 2."
"openkim","materials-models","OpenKIM model collection","current","deferred","api-cli","deferred/materials/openkim","https://openkim.org/browse/models/by-species","https://openkim.org/","per-model-license","review-per-model","segregated","Versioned executable interatomic potentials, tests, and predicted properties","extended-kim-id-and-per-model-hash","High strategic value; install in WSL after building per-model license ingestion."
"oqmd_1_8","materials","Open Quantum Materials Database","1.8-2026-02","deferred","http","deferred/materials/oqmd/qmdb__v1_8__022026.sql.gz","resolve-from-source-page","https://oqmd.org/download/","CC-BY-4.0","allowed-with-attribution","attribution","Large DFT materials database","http-metadata-and-local-sha256","21.1 GB compressed and roughly 100 GB additional import space; use F: in Phase 2."
"chembl_37","chemistry-biology","ChEMBL","37","deferred","http","deferred/chemistry/chembl/37","resolve-from-source-page","https://ftp.ebi.ac.uk/pub/databases/chembl/ChEMBLdb/latest/","CC-BY-SA-3.0","allowed-with-share-alike","share-alike","Bioactive molecules, targets, assays, and activities","upstream-checksums","Useful but keep in an isolated source layer."
"wikidata","general-ontology","Wikidata full entities","dated-dump-required","deferred","http","deferred/ontology/wikidata","resolve-dated-dump","https://www.wikidata.org/wiki/Wikidata:Database_download","CC0-1.0","allowed","permissive","General entities, statements, qualifiers, and references","upstream-md5-sha1-and-local-sha256","Current JSON dump is approximately 102 GB compressed; use F: only after a dated release is selected."
"nomad","materials","NOMAD repository","federated","deferred","api","deferred/materials/nomad","https://nomad-lab.eu/prod/v1/api/v1","https://nomad-lab.eu/nomad-lab/","CC-BY-4.0","allowed-with-attribution","federated","Millions of normalized computational materials entries; raw files exceed 100 TB","api-query-snapshot-and-local-sha256","Use narrow on-demand API projections; never mirror the raw repository."
"amazon_berkeley_objects","real-world-3d","Amazon Berkeley Objects","current","quarantine","s3","quarantine/amazon-berkeley-objects","s3://amazon-berkeley-objects/","https://amazon-berkeley-objects.s3.amazonaws.com/index.html","CONFLICTING: CC-BY-4.0 vs CC-BY-NC-4.0","not-commercial-until-written-confirmation","quarantine","Product metadata, images, and 7,953 glTF models","per-object-and-source-hash","Official landing page and AWS Open Data Registry conflict; do not ingest into commercial corpus."
"abc_cad","mechanics-3d","ABC CAD dataset","current","quarantine","http","quarantine/abc-cad","resolve-per-chunk","https://archive.nyu.edu/handle/2451/43778","MIT metadata plus per-model Onshape rights","review-per-model","quarantine","One million parameterized CAD models","per-model-meta-yaml-and-local-sha256","Rights can vary for older Onshape public documents; inspect every model record."
"pubchem","chemistry","PubChem bulk data","current","quarantine","ftp","quarantine/pubchem","https://ftp.ncbi.nlm.nih.gov/pubchem/","https://pubchem.ncbi.nlm.nih.gov/docs/downloads","mixed-per-contributor","filter-before-commercial-use","quarantine","Very large compound and substance catalog","per-source-provenance","Some contributors impose NC/ND restrictions; use clean source-filtered subsets only."
"materials_project","materials","Materials Project","current","quarantine","api","quarantine/materials-project","https://api.materialsproject.org/","https://docs.materialsproject.org/changes/database-versions","mixed-including-CC-BY-NC","filter-before-commercial-use","quarantine","Computed materials and properties","per-record-origin-and-license","Exclude GNoME-originated noncommercial records from any commercial corpus."
"objaverse","real-world-3d","Objaverse/Sketchfab assets","current","quarantine","api","quarantine/objaverse","https://objaverse.allenai.org/","https://objaverse.allenai.org/","per-object-mixed","filter-before-commercial-use","quarantine","Large-scale 3D object index","per-object-source-license-and-hash","Index/code license does not override each underlying Sketchfab asset license."
"shapenet","real-world-3d","ShapeNetCore","current","quarantine","restricted","quarantine/shapenet","registration-required","https://shapenet.org/","research-use-restricted","not-for-commercial-core","quarantine","Categorized 3D shapes","upstream-license","Avoid as the initial commercial foundation."
